id,name_ja,name_kana,name_en,genus_ja,generation,type1,type2,height,weight,hp,attack,defense,special_attack,special_defense,speed,base_stats_total,is_legendary,is_mythical,flavor_text_ja,sprite_url,artwork_url
16,ポッポ,,pidgey,ことりポケモン,1,normal,flying,0.3,1.8,40,45,40,35,35,56,251,0,0,森や 林に 多く 分布。 地上でも 激しく はばたいて 砂を かけたりする。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png
17,ピジョン,,pidgeotto,とりポケモン,1,normal,flying,1.1,30.0,63,60,55,50,50,71,349,0,0,足の ツメが 発達している。 エサの タマタマを つかんで １００キロ先の 巣まで 運ぶ。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png
18,ピジョット,,pidgeot,とりポケモン,1,normal,flying,1.5,39.5,83,80,75,70,70,101,479,0,0,エサを 探すとき 水面 すれすれを 滑るように 飛んで コイキングなどを わしづかみにする。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png
19,コラッタ,,rattata,ねずみポケモン,1,normal,,0.3,3.5,30,56,35,25,35,72,253,0,0,食べるものが あるところなら どこにだって 生息する。 １日中 エサを 探している。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png
20,ラッタ,,raticate,ねずみポケモン,1,normal,,0.7,18.5,55,81,60,50,70,97,413,0,0,伸び続ける 前歯を 削るため 硬い ものを かじる 習性。 ブロック塀も かじって 壊す。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png
21,オニスズメ,,spearow,ことりポケモン,1,normal,flying,0.3,2.0,40,60,30,31,31,70,262,0,0,自分の テリトリーを 守るため 短い 羽を はばたかせて 忙しく 飛び回っている。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png
22,オニドリル,,fearow,くちばしポケモン,1,normal,flying,1.2,38.0,65,90,65,61,61,100,442,0,0,大きな 翼で 大空を 飛び続けることが できる。 １回も 降りなくても 平気だ。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png
23,アーボ,,ekans,へびポケモン,1,poison,,2.0,6.9,35,60,44,40,54,55,288,0,0,育つほどに どんどん 長くなる。 そして 夜中は 木の枝に グルグルと 絡まって 休む。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png
24,アーボック,,arbok,コブラポケモン,1,poison,,3.5,65.0,60,95,69,65,79,80,448,0,0,お腹の 模様が 怖い 顔に 見える。 弱い 敵は その模様を 見ただけで 逃げ出してしまう。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png
25,ピカチュウ,,pikachu,ねずみポケモン,1,electric,,0.4,6.0,35,55,40,50,50,90,320,0,0,尻尾を 立てて まわりの 様子を 探っていると ときどき 雷が 尻尾に 落ちてくる。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png
26,ライチュウ,,raichu,ねずみポケモン,1,electric,,0.8,30.0,60,90,55,90,80,110,485,0,0,電気が たまってくると 筋肉が 刺激され いつもより 攻撃的に なってしまう。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png
27,サンド,,sandshrew,ねずみポケモン,1,ground,,0.6,12.0,50,75,85,20,30,40,300,0,0,地面に 穴を 掘って 住む。 自分に 危険が 迫ると まるくなって 身を 守る。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png
28,サンドパン,,sandslash,ねずみポケモン,1,ground,,1.0,29.5,75,100,110,45,55,65,450,0,0,すごい 勢いで 地面を掘ると トゲや ツメが 折れてしまうが 次の日には 生えそろっている。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png
29,ニドラン♀,,nidoran-f,どくばりポケモン,1,poison,,0.4,7.0,55,47,52,40,40,41,275,0,0,体は 小さくても 毒針を 持つため 注意が 必要だ。 メスのほうが ツノが 小さい。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png
30,ニドリーナ,,nidorina,どくばりポケモン,1,poison,,0.8,20.0,70,62,67,55,55,56,365,0,0,メスなので 性格は 温厚。 口から 出す 超音波は 相手を まどわす 力がある。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png
31,ニドクイン,,nidoqueen,ドリルポケモン,1,poison,ground,1.3,60.0,90,92,87,75,85,76,505,0,0,ウロコで 覆われた 頑丈な 体で 巣穴の 入り口を ふさぎ 敵から 子供たちを 守る。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png
32,ニドラン♂,,nidoran-m,どくばりポケモン,1,poison,,0.5,9.0,46,57,40,40,40,50,273,0,0,草むらの 上に 耳だけ 出して まわりの 気配を 探る。 猛毒の ツノで 身を 守る。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png
33,ニドリーノ,,nidorino,どくばりポケモン,1,poison,,0.9,19.5,61,72,57,55,55,65,365,0,0,発達した 耳を 立てて まわりの 気配を 探る。 なにかあると すぐに 飛びかかる。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png
34,ニドキング,,nidoking,ドリルポケモン,1,poison,ground,1.4,62.0,81,102,77,85,75,85,505,0,0,石のように 硬い 皮膚と 長く 伸びた ツノが 特徴。 ツノには 毒も あるので 注意。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png
35,ピッピ,,clefairy,ようせいポケモン,1,fairy,,0.6,7.5,70,45,48,60,65,35,323,0,0,満月の夜 ピッピが 集まって ダンスを 踊る様子を 見ると 幸せに なれると 言われている。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png
36,ピクシー,,clefable,ようせいポケモン,1,fairy,,1.3,40.0,95,70,73,95,90,60,483,0,0,１キロ先で 落ちた 針の 音も 聞き分ける 優れた 耳を 持つ。 静かな 山奥に 住んでいる。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png
37,ロコン,,vulpix,きつねポケモン,1,fire,,0.6,9.9,38,41,40,50,65,65,299,0,0,生まれたとき 尻尾は 真っ白で １本しかない。育つと やがて 先が 分かれて 尻尾が 増える。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png
38,キュウコン,,ninetales,きつねポケモン,1,fire,,1.1,19.9,73,76,75,81,100,100,505,0,0,黄金に 輝く 体毛と ９本の 長い 尻尾を 持つ。 １０００年は 生きると 言われる。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png
39,プリン,,jigglypuff,ふうせんポケモン,1,normal,fairy,0.5,5.5,115,45,20,45,25,20,270,0,0,まるくて 大きい 瞳で 誘いこみ 心地よい 歌を 歌い 相手を 眠らせる。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png
40,プクリン,,wigglytuff,ふうせんポケモン,1,normal,fairy,1.0,12.0,140,70,45,85,50,45,435,0,0,２匹 寄り添いあうと お互いの 毛皮が 気持ち良すぎて 離れられなく なってしまう。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png
41,ズバット,,zubat,こうもりポケモン,1,poison,flying,0.8,7.5,40,45,35,30,40,55,245,0,0,口から 出す 超音波で 両目が なくても まわりの 障害物を 察知できる。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png
42,ゴルバット,,golbat,こうもりポケモン,1,poison,flying,1.6,55.0,75,80,70,65,75,90,455,0,0,かみついたら 最後。死ぬほど 血を 吸いまくるので 重たくなって 自分で 飛べなくなることもある。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png
43,ナゾノクサ,,oddish,ざっそうポケモン,1,grass,poison,0.5,5.4,45,50,55,75,65,30,320,0,0,昼間は 太陽を 避けるため 冷たい 地面に 潜っている。 月の 光を 浴びて 育つ。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png
44,クサイハナ,,gloom,ざっそうポケモン,1,grass,poison,0.8,8.6,60,65,70,85,75,40,395,0,0,猛烈な クサさ！ それなのに １０００人に １人ぐらい これを 好んで かぐ 人がいる。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png
45,ラフレシア,,vileplume,フラワーポケモン,1,grass,poison,1.2,18.6,75,80,85,110,90,50,490,0,0,花びらが 大きいほど たくさん 花粉を 出すが 頭が 重たくて 疲れてしまうという。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png
46,パラス,,paras,きのこポケモン,1,bug,grass,0.3,5.4,35,70,55,45,55,25,285,0,0,虫の 背中に 生えているのは 冬虫夏草 という キノコ。 育つと キノコも 大きくなる。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png
47,パラセクト,,parasect,きのこポケモン,1,bug,grass,1.0,29.5,60,95,80,60,80,30,405,0,0,体よりも 大きな キノコが パラセクトを 操っている。 毒の 胞子を ばらまく。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png
48,コンパン,,venonat,こんちゅうポケモン,1,bug,poison,1.0,30.0,60,55,50,40,55,45,305,0,0,小さな 目が たくさん 集まって 大きな 目に なっている。 夜になると 明かりに 集まる。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png
49,モルフォン,,venomoth,どくがポケモン,1,bug,poison,1.5,12.5,70,65,60,90,75,90,450,0,0,ばらまかれた りんぷんに 触れると 体の 感覚が おかしくなって まっすぐ 立っていられなくなる。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png
50,ディグダ,,diglett,もぐらポケモン,1,ground,,0.2,0.8,10,55,25,35,45,95,265,0,0,地下１メートルくらいを 掘りすすみ 木の根っこなどを かじって 生きる。 たまに 地上に 顔を出す。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png
51,ダグトリオ,,dugtrio,もぐらポケモン,1,ground,,0.7,33.3,35,100,50,50,70,120,425,0,0,地中を 掘りすすんで 相手が 油断しているところを 別の 場所から 攻撃する。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png
52,ニャース,,meowth,ばけねこポケモン,1,normal,,0.4,4.2,40,45,35,40,40,90,290,0,0,夜中に 行動する 習性。 キラキラ 光るものを 見つけると 負けないくらい 瞳が 輝く。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png
53,ペルシアン,,persian,シャムネコポケモン,1,normal,,1.0,32.0,65,70,60,65,65,115,440,0,0,毛並みが 美しく ペットにしたがる 人も 多いが すぐ ひっかいたり するので 手強いぞ。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png
54,コダック,,psyduck,あひるポケモン,1,water,,0.8,19.6,50,52,48,65,50,55,320,0,0,いつも 頭痛に 悩まされている。 この 頭痛が 激しくなると 不思議な 力を 使いはじめる。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png
55,ゴルダック,,golduck,あひるポケモン,1,water,,1.7,76.6,80,82,78,95,80,85,500,0,0,夕暮れ 水辺に 姿をみせる。 額が あやしく 光るとき 神通力を 使いこなすという。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png
56,マンキー,,mankey,ぶたざるポケモン,1,fighting,,0.5,28.0,40,80,35,35,45,70,305,0,0,意味もなく 怒って 暴れ出すと 仲間の 区別も つかなくなるので 近寄るのは 非常に 危険だ。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png
57,オコリザル,,primeape,ぶたざるポケモン,1,fighting,,1.0,32.0,65,105,60,60,70,95,455,0,0,まわりに だれも いないときだけは 怒るのを やめている。しかし それを 見るのは 難しい。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png
58,ガーディ,,growlithe,こいぬポケモン,1,fire,,0.7,19.0,55,70,45,70,50,60,350,0,0,人懐こく 誠実な 性格。 敵には ほえて かみつき 追い払おうとする。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png
59,ウインディ,,arcanine,でんせつポケモン,1,fire,,1.9,155.0,90,110,80,100,80,95,555,0,0,昔から 多くの 人を 虜にした 美しい ポケモン。 飛ぶように 軽やかに 走る。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png
60,ニョロモ,,poliwag,おたまポケモン,1,water,,0.6,12.4,40,50,40,40,40,90,300,0,0,スベスベした 黒い皮膚は 薄く 湿っている。内臓の 一部が 透けて 渦巻状に 見える。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png
61,ニョロゾ,,poliwhirl,おたまポケモン,1,water,,1.0,20.0,65,65,65,50,50,90,385,0,0,陸でも 水中でも 暮らせる。 地上では いつも 汗をかき 皮膚を ぬめぬめ させている。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png
62,ニョロボン,,poliwrath,おたまポケモン,1,water,fighting,1.3,54.0,90,95,95,70,90,70,510,0,0,強靭な 筋肉を 持つ。 太平洋を 休むことなく 泳ぎ続けることが できるのだ。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png
63,ケーシィ,,abra,ねんりきポケモン,1,psychic,,0.9,19.5,25,20,15,105,55,90,310,0,0,１日 １８時間は 寝ている。 眠ってる あいだでも さまざまな 超能力を 使う。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png
64,ユンゲラー,,kadabra,ねんりきポケモン,1,psychic,,1.3,56.5,40,35,30,120,70,105,400,0,0,超能力を 発揮すると 強い アルファ波を 出して 精密機械を 壊してしまう。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png
65,フーディン,,alakazam,ねんりきポケモン,1,psychic,,1.5,48.0,55,50,45,135,95,120,500,0,0,脳細胞は いつも 分裂して 死ぬまで 増え続けるので あらゆることを 覚えておける。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png
66,ワンリキー,,machop,かいりきポケモン,1,fighting,,0.8,19.5,70,80,50,35,35,35,305,0,0,ゴローンを 何度も 上げ下ろしして 全身の 筋肉を 鍛える。 あらゆる 格闘技を 使う。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png
67,ゴーリキー,,machoke,かいりきポケモン,1,fighting,,1.5,70.5,80,100,70,50,60,45,405,0,0,すごく 強靭な 肉体なので パワーセーブ ベルトを つけて 強さを 制御している。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png
68,カイリキー,,machamp,かいりきポケモン,1,fighting,,1.6,130.0,90,130,80,65,85,55,505,0,0,発達した ４本の 腕は ２秒間に １０００発の パンチを 繰り出すことができる。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/68.png
69,マダツボミ,,bellsprout,フラワーポケモン,1,grass,poison,0.7,4.0,50,75,35,70,30,40,300,0,0,ひょろっとした 体つきだが 獲物を 捕らえるときの 動きは 目にも とまらないほど 素早い。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/69.png
70,ウツドン,,weepinbell,ハエとりポケモン,1,grass,poison,1.0,6.4,65,90,50,85,45,55,390,0,0,葉っぱの 部分は カッターになって 相手を 切り裂く。口からは なんでも 溶かす 液体を 吐く。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/70.png
71,ウツボット,,victreebel,ハエとりポケモン,1,grass,poison,1.7,15.5,80,105,65,100,70,70,490,0,0,ジャングルの 奥地に ウツボット ばかり いる 地帯が あって 行ったら ２度と 帰ってこれない。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/71.png
72,メノクラゲ,,tentacool,くらげポケモン,1,water,poison,0.9,45.5,40,40,35,50,100,70,335,0,0,体の ほとんどが 水分。 水晶のような 目玉から 不思議な ビームを 発射する。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/72.png
73,ドククラゲ,,tentacruel,くらげポケモン,1,water,poison,1.6,55.0,80,70,65,80,120,100,515,0,0,８０本の 触手が 自由に 動く。 刺されると 毒に 侵され 鋭い 痛みが 走る。,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/73.png
